i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3",354,19,,,,,,168,183,342.5,1,,,,,-194.5,-558,504
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | drift 26",391,108,,,,,,280.5,101.6,465.5,1,,,,,-113,-558,504
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | drift 20",521,83,,,,,,390.5,123.2,571.5,1,,,,,4.5,-558,504
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | drift 16",628,21,,,,,,448.5,173.8,618.5,1,,,,,80.5,-558,504
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in .09 .34 y 4 | drift 14",684,61,,,85.5,601.6,662.3,536.5,142.1,713.5,1,451,0.6,,,156.5,-558,504
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in .12 .38 y 3 | out .8 .98 y -4",807,21,31.5,806.3,232.5,576.8,597.4,660.5,142.3,799.5,1,428,0.57,768,1.02,259.5,-558,504
6,1,"p.kicker","¶ 02 · who — 06:58","in .05 .28 x -7",1283,19,441.5,845.7,618.5,666.7,685.7,1102.5,176.2,1271.5,1,484,2.25,830,2.71,734.5,504,1566
7,1,"h2","Who.","in .07 .32 x -9 | drift 22",1320,58,501.5,826.8,701.5,622.3,680,1169.5,142.3,1346.5,1,468,2.22,845,2.73,791,504,1566
8,1,"p.bright","This is a record of what I’ve built.","in .1 .36 x -7 | drift 18",1395,33,602.5,799.1,805.5,592.1,625.3,1225.5,163.1,1397.5,1,420,2.16,795,2.66,853.5,504,1566
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .13 .4 x -6 | drift 16",1436,29,671.5,769.8,881.5,556.3,584.8,1263.5,166.8,1434.5,1,382,2.11,763,2.62,892.5,504,1566
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .16 .44 y 4 | drift 14",1487,148,771.5,755.2,1017.5,471.7,620.2,1407.5,74.2,1600.5,1,390,2.12,829,2.71,1003,504,1566
