i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3",354,19,,,,,,168,183,342.5,1,,,,,-194.5,-558,504
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | drift 26",391,108,,,,,,280.5,101.6,465.5,1,,,,,-113,-558,504
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | drift 20",521,83,,,,,,390.5,123.2,571.5,1,,,,,4.5,-558,504
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | drift 16",628,21,,,,,,448.5,173.8,618.5,1,,,,,80.5,-558,504
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | drift 14",684,61,,,,,,536.5,142.1,713.5,1,,,,,156.5,-558,504
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",807,21,,,,,,800.5,0.8,877.5,1,,,,,259.5,-558,504
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 x -7 | out .96 1.06 y -4",1283,19,429.5,857.7,568.5,717.2,736.2,1274.5,2.2,1351.5,1,706,2.54,922,2.83,734.5,504,1566
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",1320,58,488.5,840.3,649.5,675.3,733,1349.5,-41.7,1429.5,1,700,2.53,941,2.85,791,504,1566
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 | drift 18",1395,33,581.5,820.6,745.5,653.1,686.3,1400.5,-15.4,1478.5,1,655,2.47,897,2.8,853.5,504,1566
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 | drift 16",1436,29,640.5,801.3,803.5,635.8,664.3,1437.5,-10.2,1515.5,1,634,2.45,875,2.77,892.5,504,1566
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",1487,148,704.5,823.2,879.5,611.2,759.7,1486.5,-5.8,1644.5,1,607,2.41,940,2.85,1003,504,1566
