i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3",296,19,,,,,,144.5,146.8,289.5,1,,,,,-170.7,-476.2,429.8
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | drift 26",332,79,,,,,,227.5,95.9,383.5,1,,,,,-104.7,-476.2,429.8
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | drift 20",434,64,,,,,,317.5,109.6,470.5,1,,,,,-10.2,-476.2,429.8
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | drift 16",522,21,,,,,,371.5,144.5,516.5,1,,,,,56.3,-476.2,429.8
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | drift 14",578,61,,,,,,458.5,113.8,611.5,1,,,,,132.3,-476.2,429.8
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",692,21,,,,,,689.5,-3.2,755.5,1,,,,,226.3,-476.2,429.8
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 x -7 | out .96 1.06 y -4",961,19,232.5,732.5,351.5,612,631,956.5,-1.5,1022.5,1,605,0.81,790,2.65,494.3,429.8,1504.8
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",998,46,288.5,718.1,424.5,578.1,623.7,1019.5,-33.9,1088.5,1,595,2.39,800,2.67,544.8,429.8,1504.8
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 | drift 18",1061,26,366.5,701.3,505.5,558.8,584.8,1063.5,-12.7,1129.5,1,558,2.34,763,2.62,597.8,429.8,1504.8
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 | drift 16",1095,29,416.5,683.8,556.5,541.3,569.8,1100.5,-14.7,1167.5,1,544,2.33,751,2.6,633.3,429.8,1504.8
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",1146,119,477.5,703.7,625.5,523.7,642.5,1139.5,-0.3,1273.5,1,514,2.29,796,2.66,729.3,429.8,1504.8
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .05 .19 y 4 | out .88 1.02 y -4 | drift 12",1290,123,573.5,751.6,678.5,615.6,738.2,1319.5,-35.9,1423.5,1,641,2.45,850,2.73,875.3,429.8,1504.8
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .0 .13 y 3 | out .92 1.03 y -4 | drift 10",1433,98,671.5,789,765.5,672,770,1471.5,-44,1551.5,1,706,2.54,880,2.77,1005.8,429.8,1504.8
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .44 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",1557,369,861.5,766.7,1242.5,317.1,686.6,1657.5,-105.9,1876.5,1,415,0.55,1015,2.95,1265.3,429.8,1504.8
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .04 .22 x 7 | out .96 1.06 y -4",2027,19,1298.5,733,1417.5,612.5,631.5,2022.5,-1,2088.5,1,605,0.81,790,1.05,1560.3,1504.8,2778.8
15,2,"h2","The path.","in .06 .26 x 9 | out .96 1.06 y -4 | drift 22",2064,46,1354.5,718.6,1490.5,578.6,624.2,2085.5,-33.4,2154.5,1,595,0.79,800,2.67,1610.8,1504.8,2778.8
16,2,"p.bright","Five years of query logs. Zero structure.","in .08 .29 x 7 | out .96 1.06 y -4 | drift 18",2127,26,1432.5,701.8,1571.5,559.3,585.3,2129.5,-12.2,2195.5,1,558,0.74,763,2.62,1663.8,1504.8,2778.8
17,2,"p.mutedln","The job before this run: teach the records shape. It’s where I learn","in .1 .31 x 6 | out .96 1.06 y -4 | drift 16",2161,57,1485.5,681.3,1630.5,533.8,590.8,2193.5,-41.2,2262.5,1,563,2.35,777,2.64,1713.3,1504.8,2778.8
18,2,"p.prov.mono","itsm data integration intern — miami university · jun 2025 – may 202","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",2240,95,1568.5,707.7,1713.5,530.7,625.5,2213.5,20.7,2343.5,1,500,2.27,775,2.63,1811.3,1504.8,2778.8
19,2,"p.handoff","↳ the freight has papers — the inventory’s case file ↗","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",2353,34,1590.5,789.6,1664.5,692.6,727.1,2316.5,31.1,2397.5,1,652,2.47,807,2.68,1893.8,1504.8,2778.8
20,2,"figure.plate","the freight1.6m+ oas query logs5 yrs · 1,153 usersfield-usage tables","in .04 .45 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",2413,447,1722.5,762.9,2140.5,275.2,722.3,2573.5,-165.8,2807.5,1,433,2.18,1085,3.05,2160.3,1504.8,2778.8
21,2,"div.schoolrec","the school record — filed with the runmiami university · oxford, oh ","in .0 .25 y 6 | out .84 1.0 y -5 | drift 10",2898,310,2145.5,803.2,2371.5,530.7,840.8,3053.5,-160.3,3197.5,1,682,0.91,1052,1.4,2576.8,1504.8,2778.8
22,3,"p.kicker","¶ 04 · first station — 08:47","in .04 .22 x -7 | out .96 1.06 y -4",3376,19,2647.5,732.6,2766.5,612.1,631.1,3371.5,-1.4,3437.5,1,605,2.41,790,2.65,2909.3,2778.8,3853.8
23,3,"h2","Applied.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",3413,46,2703.5,718.2,2839.5,578.2,623.8,3434.5,-33.8,3503.5,1,595,2.39,800,2.67,2959.8,2778.8,3853.8
24,3,"p.bright","Your inbox already knows where you applied.","in .08 .29 x -7 | out .96 1.06 y -4 | drift 18",3476,26,2781.5,701.4,2920.5,558.9,584.9,3478.5,-12.6,3544.5,1,558,2.34,763,2.62,3012.8,2778.8,3853.8
25,3,"p.mutedln","Applied reads it — on a device you control, and defers to you when i","in .1 .31 x -6 | out .96 1.06 y -4 | drift 16",3510,57,2834.5,680.9,2979.5,533.4,590.4,3542.5,-41.6,3611.5,1,563,2.35,777,2.64,3062.3,2778.8,3853.8
26,3,"p.prov.mono","201 regex rules ⟶ e5 embeddings ⟶ fine-tuned setfit macro-f1 0.9791 ","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",3589,95,2917.5,707.3,3062.5,530.3,625.2,3562.5,20.3,3692.5,1,500,2.27,775,2.63,3160.3,2778.8,3853.8
27,3,"p.handoff","↳ the sorted mail lands in the case file ↗ · source ↗ · live build ↗","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",3702,34,2939.5,789.3,3013.5,692.3,726.7,3665.5,30.8,3746.5,1,652,2.47,807,2.68,3242.8,2778.8,3853.8
