i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3",329,19,,,,,,160.5,164.5,319.5,1,,,,,-184.8,-523.3,472.7
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | drift 26",366,51,,,,,,222.5,134.6,387.5,1,,,,,-131.8,-523.3,472.7
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | drift 20",439,84,,,,,,321.5,110.5,492.5,1,,,,,-42.3,-523.3,472.7
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | drift 16",547,41,,,,,,395.5,145.7,558.5,1,,,,,44.2,-523.3,472.7
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | drift 14",623,61,,,,,,487.5,130.6,654.5,1,,,,,130.2,-523.3,472.7
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",743,41,,,,,,757.5,-20.6,831.5,1,,,,,240.2,-523.3,472.7
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 x -7 | out .96 1.06 y -4",1091,19,290.5,804.7,420.5,673.2,692.2,1084.5,0.2,1156.5,1,664,0.89,866,2.75,577.2,472.7,1738.7
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",1128,36,347.5,789.3,494.5,638.3,673.9,1137.5,-21.7,1211.5,1,643,2.46,864,2.75,622.7,472.7,1738.7
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 | drift 18",1181,26,417.5,770.5,570.5,614,640,1181.5,-10.5,1254.5,1,611,2.41,837,2.72,670.7,472.7,1738.7
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 | drift 16",1215,57,472.5,748,630.5,587.5,644.5,1245.5,-39.5,1320.5,1,615,2.42,848,2.73,720.2,472.7,1738.7
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",1294,163,562.5,770.4,731.5,566.4,729.5,1314.5,-26.6,1466.5,1,583,2.38,904,2.81,852.2,472.7,1738.7
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .05 .19 y 4 | out .88 1.02 y -4 | drift 12",1483,123,695.5,825.6,808.5,679.1,801.7,1503.5,-26.4,1617.5,1,695,2.53,922,2.83,1021.2,472.7,1738.7
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .0 .13 y 3 | out .92 1.03 y -4 | drift 10",1626,98,789.5,866.5,891.5,739,837.1,1659.5,-39,1746.5,1,768,2.62,957,2.88,1151.7,472.7,1738.7
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .44 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",1750,416,986.5,841.5,1408.5,344.2,760.6,1868.5,-123.8,2111.5,1,460,0.61,1125,3.1,1434.7,472.7,1738.7
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .04 .22 x 7 | out .96 1.06 y -4",2313,19,1512.5,804,1642.5,672.5,691.5,2306.5,-0.5,2378.5,1,664,0.89,866,1.15,1799.2,1738.7,3741.7
