i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3 | out .92 1.04 y -4 s .97",354,19,,,,,,310.5,38,403.5,1,,,,,-194.5,-558,504
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | out .9 1.04 y -5 s .985 | drift 26",391,108,,,,,,412.5,-33.9,531.5,1,,,,,-113,-558,504
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | out .88 1.03 y -4 s .985 | drift 20",521,83,,,,,,501.5,10.2,624.5,1,,,,,4.5,-558,504
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | out .86 1.02 y -4 s .985 | drift 16",628,21,,,,,,535.5,85.3,658.5,1,,,,,80.5,-558,504
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | out .88 1.02 y -4 s .985 | drift 14",684,61,,,,,,643.5,33.6,756.5,1,,,,,156.5,-558,504
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",807,21,,,,,,800.5,0.8,877.5,1,,,,,259.5,-558,504
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",1283,19,429.5,850,568.5,716.2,735.2,1274.5,4.2,1351.5,1,706,2.54,922,2.83,734.5,504,1566
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",1320,58,488.5,840.3,649.5,675.3,733,1349.5,-41.7,1429.5,1,700,2.53,941,2.85,791,504,1566
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",1395,33,581.5,820.6,745.5,653.1,686.3,1400.5,-15.4,1478.5,1,655,2.47,897,2.8,853.5,504,1566
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",1436,29,640.5,801.3,803.5,635.8,664.3,1437.5,-10.2,1515.5,1,634,2.45,875,2.77,892.5,504,1566
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",1487,148,701.5,786,842.5,646.2,794.7,1486.5,-3.8,1644.5,1,644,2.46,943,2.86,1003,504,1566
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .05 .19 y 4 s .97 | out .88 1.02 y -4 s .985 | drift 12",1661,123,820.5,883.1,940.5,725.3,847.9,1676.5,-21.7,1796.5,1,736,2.58,976,2.9,1164.5,504,1566
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .0 .13 s 1.03 | out .92 1.03 y -4 s .985 | drift 6",1804,98,911.5,894.2,1020.5,786.2,884.3,1833.5,-33.3,1925.5,1,813,2.68,1014,2.95,1295,504,1566
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .44 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",1399,388,571.5,895.1,867.5,534.5,922.6,1604.5,-211,1799.5,1,737,2.58,1228,3.24,1035,504,1566
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",2405,19,1551.5,850.2,1690.5,716.4,735.4,2396.5,4.4,2473.5,1,706,2.54,922,2.83,1856.5,1566,2988
15,2,"h2","The path.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",2442,58,1610.5,840.5,1771.5,675.5,733.2,2471.5,-41.5,2551.5,1,700,2.53,941,2.85,1913,1566,2988
16,2,"p.bright","Five years of query logs. Zero structure.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",2517,33,1703.5,820.8,1867.5,653.3,686.5,2522.5,-15.2,2600.5,1,655,2.47,897,2.8,1975.5,1566,2988
17,2,"p.mutedln","The job before this run: teach the records shape. It’s where I learn","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",2558,57,1765.5,798.5,1933.5,628,685,2586.5,-37,2666.5,1,653,2.47,901,2.8,2028.5,1566,2988
18,2,"p.prov.mono","itsm data integration intern — miami university · jun 2025 – may 202","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",2638,261,1865.5,771,2020.5,618.9,879.8,2734.5,-101.1,2909.5,1,714,2.55,1044,2.99,2210.5,1566,2988
19,2,"p.handoff","↳ the freight has papers — the inventory’s case file ↗","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",2916,34,2022.5,895.7,2108.5,809.9,844.4,2868.5,43.9,2962.5,1,760,2.61,940,2.85,2375,1566,2988
20,2,"figure.plate","the freight1.6m+ oas query logs5 yrs · 1,153 usersfield-usage tables","in .04 .45 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",2456,444,1630.5,895,1924.5,534.6,978.9,2710.5,-260.5,2912.5,1,786,2.65,1282,3.31,2120,1566,2988
21,2,"div.schoolrec","the school record — filed with the runmiami university · oxford, oh ","in .0 .25 y 6 s .97 | out .92 1.04 y -5 s .985 | drift 10",2996,269,2113.5,944.4,2357.5,642.4,911.1,3186.5,-197.1,3303.5,1,829,1.11,1190,3.19,2572.5,1566,2988
22,3,"p.kicker","¶ 04 · first station — 08:47","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",3857,19,3003.5,849.5,3142.5,715.7,734.7,3848.5,3.7,3925.5,1,706,2.54,922,2.83,3308.5,2988,4140
23,3,"h2","Applied.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",3894,58,3062.5,839.8,3223.5,674.8,732.5,3923.5,-42.2,4003.5,1,700,2.53,941,2.85,3365,2988,4140
24,3,"p.bright","Your inbox already knows where you applied.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",3969,67,3158.5,817.1,3328.5,643.6,710.1,4007.5,-48.9,4088.5,1,679,2.51,930,2.84,3444.5,2988,4140
