i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3 | out .92 1.04 y -4 s .97",296,19,,,,,,261.5,28.3,340.5,1,,,,,-170.7,-476.2,429.8
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | out .9 1.04 y -5 s .985 | drift 26",332,79,,,,,,338.5,-18.6,437.5,1,,,,,-104.7,-476.2,429.8
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | out .88 1.03 y -4 s .985 | drift 20",434,64,,,,,,411.5,13.1,515.5,1,,,,,-10.2,-476.2,429.8
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | out .86 1.02 y -4 s .985 | drift 16",522,21,,,,,,445.5,69,551.5,1,,,,,56.3,-476.2,429.8
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | out .88 1.02 y -4 s .985 | drift 14",578,61,,,,,,551.5,19.3,648.5,1,,,,,132.3,-476.2,429.8
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",692,21,,,,,,689.5,-3.2,755.5,1,,,,,226.3,-476.2,429.8
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",961,19,232.5,719.9,351.5,611,630,956.5,0,1022.5,1,605,0.81,790,2.65,494.3,429.8,1504.8
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",998,46,288.5,718.1,424.5,578.1,623.7,1019.5,-33.9,1088.5,1,595,2.39,800,2.67,544.8,429.8,1504.8
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",1061,26,366.5,701.3,505.5,558.8,584.8,1063.5,-12.7,1129.5,1,558,2.34,763,2.62,597.8,429.8,1504.8
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",1095,29,416.5,683.8,556.5,541.3,569.8,1100.5,-14.7,1167.5,1,544,2.33,751,2.6,633.3,429.8,1504.8
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",1146,119,475.5,670.9,593.5,553.7,672.5,1139.5,1.7,1273.5,1,546,2.33,798,2.66,729.3,429.8,1504.8
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .05 .19 y 4 s .97 | out .88 1.02 y -4 s .985 | drift 12",1290,123,573.5,753.4,678.5,615.6,738.2,1319.5,-35.9,1423.5,1,641,2.45,850,2.73,875.3,429.8,1504.8
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .0 .13 s 1.03 | out .92 1.03 y -4 s .985 | drift 6",1433,98,671.5,763,765.5,670,768,1471.5,-42,1551.5,1,706,2.54,880,2.77,1005.8,429.8,1504.8
