i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
0,0,"p.kicker","¶ 01 · the start — 06:12","in .0 .18 y 3 | out .92 1.04 y -4 s .97",329,19,,,,,,289.5,34,376.5,1,,,,,-184.8,-523.3,472.7
1,0,"h1","Ayush Yadav","in .0 .22 y 5 | out .9 1.04 y -5 s .985 | drift 26",366,51,,,,,,340.5,13.1,445.5,1,,,,,-131.8,-523.3,472.7
2,0,"p.deck","This portfolio is one pipeline run. You are the human in the loop.","in .03 .26 y 6 | out .88 1.03 y -4 s .985 | drift 20",439,84,,,,,,426.5,3,542.5,1,,,,,-42.3,-523.3,472.7
3,0,"p.runline.mono","run 042 · started 06:12 · operator: you, the reader","in .06 .3 x -6 | out .86 1.02 y -4 s .985 | drift 16",547,41,,,,,,478.5,61.2,597.5,1,,,,,44.2,-523.3,472.7
4,0,"p.thesis","“A model is only as good as the human who approves it.”","in 0 .08 y 4 | out .88 1.02 y -4 s .985 | drift 14",623,61,,,,,,588.5,28.1,694.5,1,,,,,130.2,-523.3,472.7
5,0,"p.cue.mono","↓ follow the line — eleven stops, dawn to the gate","in 0 .05 y 3 | out .96 1.06 y -4",743,41,,,,,,757.5,-20.6,831.5,1,,,,,240.2,-523.3,472.7
6,1,"p.kicker","¶ 02 · who — 06:58","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",1091,19,290.5,798.4,420.5,672.2,691.2,1084.5,2.2,1156.5,1,664,0.89,866,2.75,577.2,472.7,1738.7
7,1,"h2","Who.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",1128,36,347.5,789.3,494.5,638.3,673.9,1137.5,-21.7,1211.5,1,643,2.46,864,2.75,622.7,472.7,1738.7
8,1,"p.bright","This is a record of what I’ve built.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",1181,26,417.5,770.5,570.5,614,640,1181.5,-10.5,1254.5,1,611,2.41,837,2.72,670.7,472.7,1738.7
9,1,"p.mutedln","And how each piece was checked before I called it done.","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",1215,57,472.5,748,630.5,587.5,644.5,1245.5,-39.5,1320.5,1,615,2.42,848,2.73,720.2,472.7,1738.7
10,1,"p.prov","I’m a computer-science graduate from Miami University, based in Cinc","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",1294,163,560.5,734,695.5,600.4,763.5,1314.5,-24.6,1466.5,1,619,2.43,906,2.81,852.2,472.7,1738.7
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .05 .19 y 4 s .97 | out .88 1.02 y -4 s .985 | drift 12",1483,123,695.5,827.5,808.5,679.1,801.7,1503.5,-26.4,1617.5,1,695,2.53,922,2.83,1021.2,472.7,1738.7
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .0 .13 s 1.03 | out .92 1.03 y -4 s .985 | drift 6",1626,98,789.5,838.1,891.5,737,835.1,1659.5,-37,1746.5,1,768,2.62,957,2.88,1151.7,472.7,1738.7
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .44 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",1750,416,975.5,837.6,1251.5,501.7,918.1,1987.5,-242.8,2177.5,1,736,0.98,1202,3.2,1434.7,472.7,1738.7
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",2313,19,1512.5,797.7,1642.5,671.5,690.5,2306.5,1.5,2378.5,1,664,0.89,866,1.15,1799.2,1738.7,3741.7
15,2,"h2","The path.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",2350,36,1569.5,788.6,1716.5,637.6,673.2,2359.5,-22.4,2433.5,1,643,0.86,864,1.15,1844.7,1738.7,3741.7
16,2,"p.bright","Five years of query logs. Zero structure.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",2403,52,1641.5,767.8,1799.5,606.3,658.3,2428.5,-36.2,2503.5,1,629,0.84,862,1.15,1905.7,1738.7,3741.7
17,2,"p.mutedln","The job before this run: teach the records shape. It’s where I learn","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",2463,57,1720.5,747.3,1878.5,586.8,643.8,2493.5,-40.2,2568.5,1,615,0.82,848,1.13,1968.2,1738.7,3741.7
18,2,"p.prov.mono","itsm data integration intern — miami university · jun 2025 – may 202","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",2542,261,1818.5,721.8,1966.5,576.7,837.6,2646.5,-109.3,2813.5,1,680,0.91,995,2.93,2149.2,1738.7,3741.7
19,2,"p.handoff","↳ the freight has papers — the inventory’s case file ↗","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",2821,57,1982.5,839.1,2065.5,756.7,814.2,2799.5,16.7,2889.5,1,734,2.58,907,2.81,2326.2,1738.7,3741.7
20,2,"figure.plate","the freight1.6m+ oas query logs5 yrs · 1,153 userspython · sqlfield-","in .04 .45 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",2904,672,2139.5,832.4,2406.5,500.3,1171.8,3361.5,-463.7,3590.5,1,955,2.87,1451,3.53,2716.7,1738.7,3741.7
21,2,"div.schoolrec","the school record — filed with the runmiami university · oxford, oh ","in .0 .25 y 6 s .97 | out .92 1.04 y -5 s .985 | drift 10",3617,597,2794.5,886,3095.5,525.5,1122.9,4116.5,-505.5,4261.5,1,1021,1.36,1467,1.96,3392.2,1738.7,3741.7
